incident_id,date,time,road_code,road_name,km_marker,direction,incident_type,severity,vehicles_involved,clearance_minutes,weather_related,note
ACC_2020_02169,2020-01-01,00:16,0091,Novo Mesto-Ljubljana,31.1,Direction A,Single vehicle accident,Minor,1,30,No,Based on Slovenian Police statistics
ACC_2020_00562,2020-01-01,09:38,0031,Koper-Ljubljana,0.3,Direction B,Single vehicle accident,Minor,1,28,No,Based on Slovenian Police statistics
ACC_2020_02225,2020-01-01,14:12,0071,Ljubljana-Kranj,15.2,Direction A,Multi-vehicle accident,Minor,3,38,No,Based on Slovenian Police statistics
ACC_2020_00050,2020-01-01,14:27,0031,Koper-Ljubljana,22.1,Direction B,Side collision,Major,2,98,No,Based on Slovenian Police statistics
ACC_2020_01860,2020-01-01,14:48,0091,Novo Mesto-Ljubljana,23.4,Direction A,Side collision,Minor,2,52,No,Based on Slovenian Police statistics
ACC_2020_02462,2020-01-01,17:19,0161,Koper Port,42.3,Direction B,Side collision,Minor,2,46,No,Based on Slovenian Police statistics
ACC_2020_01850,2020-01-01,17:38,0041,Celje-Maribor,41.7,Direction A,Rear-end collision,Minor,2,44,Yes,Based on Slovenian Police statistics
ACC_2020_01604,2020-01-01,17:46,0051,Ljubljana-Celje,32.3,Direction A,Side collision,Minor,2,30,Yes,Based on Slovenian Police statistics
ACC_2020_01347,2020-01-01,17:58,0051,Ljubljana-Celje,2.2,Direction A,Single vehicle accident,Minor,1,34,Yes,Based on Slovenian Police statistics
ACC_2020_00879,2020-01-01,19:18,0071,Ljubljana-Kranj,29.9,Direction B,Side collision,Minor,2,30,Yes,Based on Slovenian Police statistics
ACC_2020_01723,2020-01-02,14:13,0031,Koper-Ljubljana,44.5,Direction B,Single vehicle accident,Minor,1,52,No,Based on Slovenian Police statistics
ACC_2020_00732,2020-01-02,15:40,0015a,Maribor HC,9.0,Direction B,Side collision,Minor,2,50,Yes,Based on Slovenian Police statistics
ACC_2020_01375,2020-01-02,16:48,0031,Koper-Ljubljana,29.0,Direction B,Rear-end collision,Minor,2,31,No,Based on Slovenian Police statistics
