incident_id,datetime,road_code,road_name,direction,severity,incident_type,weather_related,clearance_minutes,speed_at_accident,volume_at_accident,density_at_accident,time_diff_minutes,hour,day_of_week,is_weekend,is_peak_hour,has_accident
ACC_2020_00660,2020-08-31 17:14:00,0021,Ljubljana Ring,Both,Minor,Rear-end collision,No,44,82.0,303,3.6951219512195124,14.0,17,0,0,1,1
ACC_2020_01643,2020-09-01 08:11:00,0021,Ljubljana Ring,Direction A,Minor,Rear-end collision,No,60,108.0,57,0.5277777777777778,11.0,8,1,0,1,1
ACC_2020_00533,2020-09-01 17:51:00,0016a,Maliska HC,Both,Minor,Single vehicle accident,No,34,87.0,407,4.67816091954023,9.0,17,1,0,1,1
ACC_2020_02439,2020-09-01 22:13:00,0021,Ljubljana Ring,Direction B,Minor,Multi-vehicle accident,No,33,74.0,188,2.5405405405405403,13.0,22,1,0,0,1
ACC_2020_01141,2020-09-06 02:13:00,0015a,Maribor HC,Direction A,Minor,Side collision,No,44,86.0,60,0.6976744186046512,13.0,2,6,1,0,1
ACC_2020_02086,2020-09-06 07:41:00,0021,Ljubljana Ring,Both,Minor,Single vehicle accident,No,56,105.0,461,4.390476190476191,19.0,7,6,1,1,1
ACC_2020_01507,2020-09-08 08:20:00,0021,Ljubljana Ring,Direction B,Minor,Side collision,No,59,98.0,327,3.336734693877551,20.0,8,1,0,1,1
ACC_2020_00979,2020-09-08 08:49:00,0021,Ljubljana Ring,Both,Minor,Side collision,No,53,117.0,294,2.5128205128205128,11.0,8,1,0,1,1
ACC_2020_00339,2020-09-09 06:46:00,0021,Ljubljana Ring,Direction B,Minor,Multi-vehicle accident,No,35,127.0,139,1.094488188976378,14.0,6,2,0,0,1
ACC_2020_01374,2020-09-10 09:52:00,0021,Ljubljana Ring,Direction A,Minor,Multi-vehicle accident,No,30,118.0,140,1.1864406779661016,8.0,9,3,0,1,1
ACC_2020_00114,2020-09-11 09:49:00,0015a,Maribor HC,Both,Major,Rear-end collision,No,98,103.0,357,3.466019417475728,11.0,9,4,0,1,1
ACC_2020_00390,2020-09-16 07:11:00,0015a,Maribor HC,Direction A,Minor,Single vehicle accident,No,32,88.0,193,2.1931818181818183,11.0,7,2,0,1,1
ACC_2020_01111,2020-09-16 07:39:00,0015a,Maribor HC,Direction A,Minor,Multi-vehicle accident,No,23,83.0,216,2.602409638554217,21.0,7,2,0,1,1
ACC_2020_01932,2020-09-18 14:58:00,0021,Ljubljana Ring,Direction A,Minor,Single vehicle accident,No,46,91.0,119,1.3076923076923077,2.0,14,4,0,0,1
ACC_2020_01167,2020-09-20 09:45:00,0015a,Maribor HC,Direction A,Minor,Rear-end collision,No,29,111.0,146,1.3153153153153154,15.0,9,6,1,1,1
ACC_2020_02325,2020-09-23 15:16:00,0015a,Maribor HC,Direction A,Minor,Single vehicle accident,Yes,46,110.0,60,0.5454545454545454,16.0,15,2,0,0,1
ACC_2020_02043,2020-09-24 16:49:00,0021,Ljubljana Ring,Direction B,Minor,Rear-end collision,No,32,120.0,442,3.683333333333333,11.0,16,3,0,1,1
ACC_2020_01471,2020-09-24 17:52:00,0021,Ljubljana Ring,Direction A,Minor,Rear-end collision,No,47,100.0,180,1.8,8.0,17,3,0,1,1
ACC_2020_01833,2020-09-27 06:21:00,0021,Ljubljana Ring,Both,Minor,Single vehicle accident,No,50,77.0,232,3.012987012987013,21.0,6,6,1,0,1
ACC_2020_01936,2020-09-27 07:12:00,0015a,Maribor HC,Both,Minor,Multi-vehicle accident,Yes,33,91.0,195,2.142857142857143,12.0,7,6,1,1,1
