speed_bin,density_bin,accidents,total_observations,accident_rate,accident_rate_pct,relative_risk
"(-0.001, 10.0]","(-0.001, 10.0]",0,0,,,
"(-0.001, 10.0]","(10.0, 20.0]",0,0,,,
"(-0.001, 10.0]","(20.0, 30.0]",0,0,,,
"(-0.001, 10.0]","(30.0, 40.0]",0,0,,,
"(-0.001, 10.0]","(40.0, 50.0]",0,0,,,
"(-0.001, 10.0]","(50.0, 60.0]",0,0,,,
"(-0.001, 10.0]","(60.0, 70.0]",0,0,,,
"(-0.001, 10.0]","(70.0, 80.0]",0,0,,,
"(-0.001, 10.0]","(80.0, 90.0]",0,0,,,
"(-0.001, 10.0]","(90.0, 100.0]",0,0,,,
"(-0.001, 10.0]","(100.0, 110.0]",0,0,,,
"(-0.001, 10.0]","(110.0, 120.0]",0,0,,,
"(-0.001, 10.0]","(120.0, 130.0]",0,0,,,
"(-0.001, 10.0]","(130.0, 140.0]",0,0,,,
"(-0.001, 10.0]","(140.0, 150.0]",0,0,,,
"(-0.001, 10.0]","(150.0, 160.0]",0,0,,,
"(-0.001, 10.0]","(160.0, 170.0]",0,0,,,
"(-0.001, 10.0]","(170.0, 180.0]",0,0,,,
"(-0.001, 10.0]","(180.0, 190.0]",0,0,,,
"(-0.001, 10.0]","(190.0, 200.0]",0,0,,,
"(10.0, 20.0]","(-0.001, 10.0]",0,0,,,
"(10.0, 20.0]","(10.0, 20.0]",0,0,,,
"(10.0, 20.0]","(20.0, 30.0]",0,0,,,
"(10.0, 20.0]","(30.0, 40.0]",0,0,,,
"(10.0, 20.0]","(40.0, 50.0]",0,0,,,
"(10.0, 20.0]","(50.0, 60.0]",0,0,,,
"(10.0, 20.0]","(60.0, 70.0]",0,0,,,
"(10.0, 20.0]","(70.0, 80.0]",0,0,,,
"(10.0, 20.0]","(80.0, 90.0]",0,0,,,
"(10.0, 20.0]","(90.0, 100.0]",0,0,,,
"(10.0, 20.0]","(100.0, 110.0]",0,0,,,
"(10.0, 20.0]","(110.0, 120.0]",0,0,,,
"(10.0, 20.0]","(120.0, 130.0]",0,0,,,
"(10.0, 20.0]","(130.0, 140.0]",0,0,,,
"(10.0, 20.0]","(140.0, 150.0]",0,0,,,
"(10.0, 20.0]","(150.0, 160.0]",0,0,,,
"(10.0, 20.0]","(160.0, 170.0]",0,0,,,
"(10.0, 20.0]","(170.0, 180.0]",0,0,,,
"(10.0, 20.0]","(180.0, 190.0]",0,0,,,
"(10.0, 20.0]","(190.0, 200.0]",0,0,,,
"(20.0, 30.0]","(-0.001, 10.0]",0,0,,,
"(20.0, 30.0]","(10.0, 20.0]",0,0,,,
"(20.0, 30.0]","(20.0, 30.0]",0,0,,,
"(20.0, 30.0]","(30.0, 40.0]",0,0,,,
"(20.0, 30.0]","(40.0, 50.0]",0,0,,,
"(20.0, 30.0]","(50.0, 60.0]",0,0,,,
"(20.0, 30.0]","(60.0, 70.0]",0,0,,,
"(20.0, 30.0]","(70.0, 80.0]",0,0,,,
"(20.0, 30.0]","(80.0, 90.0]",0,0,,,
"(20.0, 30.0]","(90.0, 100.0]",0,0,,,
"(20.0, 30.0]","(100.0, 110.0]",0,0,,,
"(20.0, 30.0]","(110.0, 120.0]",0,0,,,
"(20.0, 30.0]","(120.0, 130.0]",0,0,,,
"(20.0, 30.0]","(130.0, 140.0]",0,0,,,
"(20.0, 30.0]","(140.0, 150.0]",0,0,,,
"(20.0, 30.0]","(150.0, 160.0]",0,0,,,
"(20.0, 30.0]","(160.0, 170.0]",0,0,,,
"(20.0, 30.0]","(170.0, 180.0]",0,0,,,
"(20.0, 30.0]","(180.0, 190.0]",0,0,,,
"(20.0, 30.0]","(190.0, 200.0]",0,0,,,
"(30.0, 40.0]","(-0.001, 10.0]",0,0,,,
"(30.0, 40.0]","(10.0, 20.0]",0,0,,,
"(30.0, 40.0]","(20.0, 30.0]",0,0,,,
"(30.0, 40.0]","(30.0, 40.0]",0,0,,,
"(30.0, 40.0]","(40.0, 50.0]",0,0,,,
"(30.0, 40.0]","(50.0, 60.0]",0,0,,,
"(30.0, 40.0]","(60.0, 70.0]",0,0,,,
